,submission_id,user_id,location_name,submission_timestamp,questions_134999_where_are_you_eating_at_the_moment,questions_135005_who_are_you_with,questions_134999_where_are_you_eating_at_the_moment,questions_135000_which_of_the_following_best_describes_where_you_got_your_food_from_today,questions_135004_what_else_if_anything_are_you_doing_while_eating_your_food_for_example_are_you_also_watching_tv_checking_social_media_cooking_etc_coded,questions_135022_who_prepared_the_food,level2dish_coded,questions_135019_what_are_the_main_reasons_that_you_chose_this_food_right_now_if_you_are_having_more_than_one_item_please_write_about_the_main_item_you_are_having_please_be_as_detailed_as_you_can_coded,questions_135020_what_other_food_if_any_did_you_consider_having_instead_coded,questions_223649_149206_210007_finally_which_best_describes_the_food_you_are_having_today
29,78,3878082336.0,South Africa,2019-02-21 12:36:46.234625,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Listening to music""]",I prepared it myself from scratch,"[""Apples and pears""]","[""It's my habit / routine""]","[""Coffee""]",Breakfast
30,81,1189173122.0,South Africa,2019-05-24 08:16:26.182788,At my home,"[""My spouse/partner""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Browsing social media""]",It was premade / ready to eat,"[""Dried fruit""]","[""It's a healthy choice""]","[""Milk / flavoured milk / milk alternatives"", ""Fruit""]",Breakfast
31,87,1851834600.0,South Africa,2019-05-10 18:44:23.446960,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Cake""]","[""I wanted to treat myself""]","[""Nothing""]",Treat
32,89,5660006853.0,South Africa,2019-05-04 07:01:54.335237,At my home,"[""Alone""]",At my home,,"[""Relaxing / laying down""]",I prepared it myself from scratch,"[""Biscuits with filling""]","[""I was hungry"", ""I had a craving"", ""I was hungry""]","[""Juice / juice drinks""]",Snack
33,91,4085268999.0,South Africa,2019-06-11 03:46:24.639257,At my home,"[""Alone""]",At my home,,"[""Browsing social media""]",I prepared it together with friends / family,"[""Plain rice""]","[""It's what I wanted""]","[""Rice / pasta / grains / pulses""]",Breakfast
34,92,845188170.0,South Africa,2019-05-01 11:59:27.397452,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Watching TV""]",It was premade / ready to eat,"[""Biscuits""]","[""It's my favourite"", ""I wanted a snack""]","[""Breads""]",Breakfast
35,96,7938156945.0,South Africa,2019-08-02 10:27:45.685160,At my home,"[""Alone""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Potato crisps""]","[""Convenient""]","[""Rice / pasta / grains / pulses""]",Snack
36,98,5231333862.0,South Africa,2019-07-06 08:12:18.843273,At my home,"[""Other family members""]",At my home,,"[""Watching TV""]",Someone else prepared it,"[""Tropical and exotic fruit""]","[""It's my habit / routine""]","[""Sweet pastry / baked goods""]",Lunch
37,101,6201189388.0,South Africa,2019-06-09 16:55:09.141632,At my home,"[""Alone""]",At my home,,"[""Browsing social media""]",I prepared it myself from scratch,"[""Fried potatoes/ sweet potatoes""]","[""I wanted a snack""]","[""Nothing""]",Snack
38,102,1485721965.0,South Africa,2019-05-24 17:58:07.622139,At my home,"[""My spouse/partner""]",At my home,Other,"[""Watching TV""]",It was premade / ready to eat,"[""Berries / cherries / grapes""]","[""It's a healthy choice"", ""I like the taste""]","[""Nothing""]",Snack
39,108,6960142220.0,South Africa,2019-08-22 12:08:36.995300,At my home,"[""Alone""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Nothing""]",It was premade / ready to eat,"[""Chocolate bar""]","[""Quick""]","[""Cereals / porridge""]",Snack
40,111,2493968.0,South Africa,2019-04-04 10:35:51.688403,At my home,"[""Alone""]",At my home,Deli / Sandwich Store / Bakery,"[""Watching TV""]",,"[""Bread/ roll/ baguette"", ""Cured meats"", ""Hard cheese""]","[""It's my habit / routine""]","[""Nothing""]",Breakfast
41,115,6883124640.0,South Africa,2019-07-24 15:42:44.883372,At my home,"[""My spouse/partner""]",At my home,,"[""Watching TV""]",I prepared it myself from scratch,"[""Rice with vegetables"", ""Other vegetable dish"", ""Other vegetable dish""]","[""It's my habit / routine""]","[""Nothing""]",Dinner
42,122,5824563876.0,South Africa,2019-05-23 05:17:30.293612,At my home,"[""Alone""]",At my home,,"[""Nothing""]",I prepared it myself from scratch,"[""Bread/ roll/ baguette"", ""Honey / syrup""]","[""It's my favourite""]","[""Nothing""]",Breakfast
43,123,3411103688.0,South Africa,2019-01-30 21:51:59.019497,At my home,"[""My spouse/partner""]",At my home,Supermarket / Hypermarket / Grocery Store ,"[""Other""]",I prepared it myself from scratch,"[""Plain rice""]","[""Energy boost""]","[""Nothing""]",Breakfast
44,130,6524135960.0,South Africa,2019-07-19 13:47:46.350641,At my home,"[""Alone""]",At my home,,"[""On my phone""]",I prepared it myself using a meal starter,"[""Porridge/ oatmeal""]","[""Convenient"", ""Cheap"", ""I like the taste""]","[""Rice / pasta / grains / pulses""]",Dinner
45,131,3646973000.0,South Africa,2019-04-04 18:37:48.419722,At school / work,"[""Alone""]",At school / work,I had it at home / brought it from home,"[""Watching TV""]",I made it myself with some ready made ingredients,"[""Meat soup""]","[""It's my habit / routine""]","[""Nothing""]",Dinner
46,135,3486591640.0,South Africa,2019-02-13 23:07:53.737200,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Watching TV""]",I prepared it myself from scratch,"[""Bread/ roll/ baguette""]","[""It's what I wanted""]","[""Breads""]",Breakfast
47,137,1475072886.0,South Africa,2019-01-29 01:04:04.009920,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Nothing""]",I prepared it myself using a meal starter,"[""Pork"", ""Bread/ roll/ baguette"", ""Pasta with meat""]","[""It's what I wanted""]","[""Nothing""]",Dinner
48,140,3116259594.0,South Africa,2019-02-01 18:47:08.813540,At my home,"[""Alone""]",At my home,I had it at home / brought it from home,"[""Browsing social media""]",I prepared it myself from scratch,"[""Pork"", ""Other potatoes/ sweet potatoes"", ""Green salad ""]","[""I like the taste""]","[""Rice / pasta / grains / pulses"", ""Rice / pasta / grains / pulses""]",Dinner
